"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL20081831","SALT LAKE CITY","4","5","13B","100 W 600 S                                                                                             ","01/03/2008","PEF","115","01/03/2008","1313-1","ASSAULT","1890585","882786"
"SL20082093","SALT LAKE CITY","6","5","13C","2100 E 2100 S                                                                                            ","01/03/2008","SUG","236","01/04/2008","1399-0","ASSAULT","1908881","871546"
"SL20081892","SALT LAKE CITY","2","5","0",,"01/03/2008","WSL","152","01/03/2008","5499-8","TRAFFIC","1880648","878267"
"SL20081607","SALT LAKE CITY","5","5","23D","1800 S MAIN ST                                                                                           ","01/03/2008","PEF","234","01/03/2008","2308-0","LARCENY","1891794","873584"
"SL20081823","SALT LAKE CITY","4","5","0","800 S GREEN ST                                                                                          ","01/03/2008","CEC","214","01/03/2008","7399-11","PUBLIC ORDER","1897034","880742"
"SL20082457","SALT LAKE CITY","5","5","13B","2000 S ROBERTA ST                                                                                        ","01/03/2008","LIW","234","01/04/2008","1313-0","ASSAULT","1893709","871993"
"SL20081483","SALT LAKE CITY","4","5","90E","700 S 300 E                                                                                             ","01/03/2008","CEC","115","01/03/2008","7399-26","PUBLIC ORDER","1894205","881969"
"SL20081887",,,"5","90Z",,"01/03/2008",,"236","01/03/2008","4902-0","ESCAPE",,
"SL20081757","SALT LAKE CITY","2","5","290","400 S NAVAJO ST                                                                                         ","01/03/2008","POP","151","01/03/2008","2902-1","DAMAGED PROP","1881256","884344"
"SL20082530","SALT LAKE CITY","2","5","23F","1400 S 4800 W                                                                                            ","01/03/2008","WSL","154","01/04/2008","2305-0","LARCENY","1860034","876412"
"SL20081781","SALT LAKE CITY","4","5","90G","200 S WOODBINE ST                                                                                       ","01/03/2008","DTN","112","01/03/2008","4104-0","LIQUOR","1887475","885989"
"SL20081804","SALT LAKE CITY","4","5","0","300 S 600 W                                                                                             ","01/03/2008","DTN","112","01/03/2008","5399-28","PUBLIC PEACE","1887084","885181"
"SL20081791","SALT LAKE CITY","4","5","90G","200 S RIO GRANDE ST                                                                                     ","01/03/2008","DTN","112","01/03/2008","4104-0","LIQUOR","1888237","885727"
"SL20081732","SALT LAKE CITY","2","5","35A","100 N 800 W                                                                                             ","01/03/2008","STF","132","01/03/2008","3562-0","DRUGS","1885574","888860"
"SL20081625","SALT LAKE CITY","1","5","0","2200 W 2100 N                                                                                            ","01/03/2008","WES","133","01/03/2008","5499-7","TRAFFIC","1874630","903593"
"SL20082889","SALT LAKE CITY","2","5","23D","1000 S PUEBLO ST                                                                                         ","01/03/2008","WSL","152","01/05/2008","2308-0","LARCENY","1880481","879256"
