"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_gird","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2010141","SALT LAKE CITY","7","6","290","2300 S ONEIDA ST                                                                                         ","01/01/2010 12:00:00 AM","SUG","236","2010-01-01T00:00:00.000","2902-0","DAMAGED PROP","1908949","869601"
"SL2010226","SALT LAKE CITY","2","6","23F","2000 W NORTH TEMPLE RAMP                                                                                 ","01/01/2010 12:00:00 AM","POP","133","2010-01-01T00:00:00.000","2305-0","LARCENY","1875311","888342"
"SL2010280","SALT LAKE CITY","3","6","23F","300 W 600 N                                                                                             ","01/01/2010 12:00:00 AM","CAH","111","2010-01-01T00:00:00.000","2305-0","LARCENY","1888956","892297"
"SL2010282","SALT LAKE CITY","1","6","23F","4900 W WILEY POST WAY                                                                                    ","01/01/2010 12:00:00 AM","JOM","133","2010-01-01T00:00:00.000","2305-0","LARCENY","1859433","889216"
"SL2010295","SALT LAKE CITY","3","6","290","300 N G ST                                                                                              ","01/01/2010 12:00:00 AM","AVE","211","2010-01-01T00:00:00.000","2902-0","DAMAGED PROP","1896442","890770"
"SL2010370","SALT LAKE CITY","3","6","290","500 E 8TH AVE                                                                                           ","01/01/2010 12:00:00 AM","AVE","211","2010-01-01T00:00:00.000","2902-1","DAMAGED PROP","1896763","890907"
"SL2010513","SALT LAKE CITY","2","6","23F","1900 S 4650 W                                                                                            ","01/01/2010 12:00:00 AM","WSL","154","2010-01-01T00:00:00.000","2305-0","LARCENY","1861023","872964"
"SL2010538","SALT LAKE CITY","1","6","23F","600 N 1000 W                                                                                            ","01/01/2010 12:00:00 AM","STF","132","2010-01-01T00:00:00.000","2305-0","LARCENY","1884004","892324"
"SL20102501","SALT LAKE CITY","2","6","23D","1400 S CONCORD ST                                                                                        ","01/01/2010 12:00:00 AM","WSL","153","2010-01-05T00:00:00.000","2308-0","LARCENY","1881882","876095"
"SL20102848","SALT LAKE CITY","3","6","23H","200 E ENSIGN VISTA DR                                                                                   ","01/01/2010 12:00:00 AM","CAH","111","2010-01-05T00:00:00.000","2399-0","LARCENY","1893397","895791"
"SL20101878","SALT LAKE CITY","4","6","0","600 E 500 S                                                                                             ","01/01/2010 12:00:00 AM","CEC","214","2010-01-04T00:00:00.000","7399-6","PUBLIC ORDER","1896651","883555"
