"case","city","city_council","day_of_week","ibr_code","location","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2011177547","SALT LAKE CITY","1","6","26A",,,"113","Z1","2011-10-21T12:39:13.000","2699-0","FRAUD","1877236","889605"
"SL201134187","SALT LAKE CITY","1","2","0",,,"WES","133","2011-02-28T16:28:06.000","5499-12","TRAFFIC","1866213","893805"
"SL201134336",,,"2","90Z",,,,,"2011-02-28T21:10:56.000","4902-0","ESCAPE",,
"SL201134805",,,"3","0",,,,,"2011-03-01T17:39:33.000","5499-6","TRAFFIC",,
"SL201150579","SALT LAKE CITY","2","3","90A",,,"POP","151","2011-03-28T18:42:29.000","2606-0","FRAUD","1878981","882486"
"SL201126846","SALT LAKE CITY","4","4","90Z",,,"B1","212","2011-02-15T16:17:34.000","3599-99","DRUGS","1893430","885973"
"SL201135371","SALT LAKE CITY",,"4","90G",,,,,"2011-03-02T17:46:44.000","4104-0","LIQUOR",,
"SL201135930","SALT LAKE CITY","1","5","0",,,"A3","133","2011-03-03T17:06:14.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL201136108","SALT LAKE CITY",,"5","35A",,,,,"2011-03-03T22:20:02.000","3531-0","DRUGS",,
"SL201136277","SALT LAKE CITY","1","6","0",,,"A3","133","2011-03-04T09:16:47.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011191892","SALT LAKE CITY",,"2","23H",,,,,"2011-11-15T12:26:43.000","2312-0","LARCENY",,
"SL2011206954",,,"3","0",,,,,"2011-12-13T05:31:03.000","5499-6","TRAFFIC",,
"SL201136715","SALT LAKE CITY","7","6","90Z",,,"SUG","235","2011-03-04T21:38:42.000","5401-0","TRAFFIC","1897300","869057"
"SL201137457","SALT LAKE CITY",,"1","35A",,,,,"2011-03-06T04:50:31.000","3562-0","DRUGS",,
"SL201137581","SALT LAKE CITY",,"1","23C",,,,,"2011-03-06T13:03:12.000","2303-0","LARCENY",,
"SL201138003","SALT LAKE CITY","SL","2","0",,,"40","40","2011-03-07T10:43:35.000","5499-12","TRAFFIC","1888560","885820"
"SL2011215217",,,"4","0",,,,"D3","2011-12-28T16:19:10.000","5499-2","TRAFFIC",,
"SL2011207465","SALT LAKE CITY","SL","4","0",,,"40","40","2011-12-14T00:12:07.000","5499-6","TRAFFIC","1867243","892571"
"SL201137939","SALT LAKE CITY","7","2","23F",,,"SUG","236","2011-03-07T08:35:43.000","2305-0","LARCENY","1909226","868534"
"SL201138831","SALT LAKE CITY","1","3","0",,,"A3","133","2011-03-08T14:59:15.000","5399-28","PUBLIC PEACE","1866905","891511"
"SL201138577",,,"3","0",,,,"INV","2011-03-08T07:04:07.000","5499-7","TRAFFIC",,
"SL20112071","SALT LAKE CITY","4","3","90Z",,,"B1","212","2011-01-04T18:57:50.000","3599-99","DRUGS","1893430","885973"
"SL20114698",,,"1","90Z",,,,,"2011-01-09T14:24:21.000","4902-0","ESCAPE",,
"SL20115856",,,"3","90Z",,,,,"2011-01-11T16:35:32.000","4902-0","ESCAPE",,
"SL20118670",,,"1","0",,,,,"2011-01-16T02:44:05.000","5499-6","TRAFFIC",,
"SL201114246","WOODS CROSS",,"3","90Z",,,,,"2011-01-25T14:30:07.000","4902-0","ESCAPE",,
"SL2011800076",,,"4","290",,,,,,"2902-0","DAMAGED PROP",,
"SL201114616","SALT LAKE CITY",,"4","90Z",,,,,"2011-01-26T07:47:43.000","4902-0","ESCAPE",,
"SL201116163","MIDVALE","SL","6","35A",,,"47","47","2011-01-28T15:17:22.000","3530-0","DRUGS","1893111","832413"
"SL201120241",,,"6","90E",,,,,"2011-02-04T13:28:26.000","7399-26","PUBLIC ORDER",,
"SL201125466","SALT LAKE CITY","1","1","0",,,"A3","133","2011-02-13T07:09:11.000","5499-84","TRAFFIC","1866905","891511"
"SL201126268","SALT LAKE CITY","1","2","13B",,,"JOM","133","2011-02-14T16:31:57.000","1313-0","ASSAULT","1877235","889278"
"SL201126374","MURRAY","SL","2","35A",,,"45","45","2011-02-14T19:47:51.000","3510-0","DRUGS","1891983","846886"
"SL201125983","SALT LAKE CITY","1","2","0",,,"A3","133","2011-02-14T05:59:02.000","5399-28","PUBLIC PEACE","1866905","891511"
"SL201128400","MURRAY","SL","2","90Z",,,"45","45","2011-02-18T00:33:14.000","4902-0","ESCAPE","1891983","846886"
"SL201127419","SALT LAKE CITY","1","3","290",,,"A3","133","2011-02-16T16:29:23.000","2901-0","DAMAGED PROP","1866905","891511"
"SL201126791",,,"3","90Z",,,,,"2011-02-15T15:27:37.000","4902-0","ESCAPE",,
