"cases","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2009166738","SALT LAKE CITY","4","5","26B","1000 E 300 S                                                                                             ","01/01/2009","EAC","213","09/15/2009","2605-0","FRAUD","1900355","885124"
"SL2009217515","SALT LAKE CITY","2","5","23D","1600 S PIONEER RD                                                                                        ","01/01/2009","WSL","154","12/11/2009","2308-0","LARCENY","1873240","874655"
"SL201074106","SALT LAKE CITY","4","5","250","300 E 200 S                                                                                             ","01/01/2009","CEC","212","04/30/2010","2589-12","FORGERY","1894390","886000"
"SL2010145464","SALT LAKE CITY","2","5","270",,"01/01/2009","WSL","154","08/20/2010","2799-1","EMBEZZLEMENT","1866787","877861"
"SL2011800700","SALT LAKE CITY","2","5","26C","300 S ORANGE ST                                                                                         ","01/01/2009","POP","154","08/02/2011","2699-1","FRAUD","1877287","884631"
"SL2011801350","SALT LAKE CITY","2","5","26C","1500 W 200 S                                                                                             ","01/01/2009","121","Z2","12/26/2011","2699-1","FRAUD","1879648","885997"
"SL2014801213","SALT LAKE CITY","3","5","26C","200 E 1ST AVE                                                                                           ","01/01/2009","141","Z4","04/24/2014","2699-1","FRAUD","1894510","887962"
"SL2014218465","SALT LAKE CITY","4","5","0","400 S 300 E                                                                                             ","01/01/2009","144","Z4","12/16/2014","7399-99","PUBLIC ORDER","1894271","883800"
"SL2009613","SALT LAKE CITY","4","6","90D","700 S 500 E                                                                                             ","01/02/2009","CEC","214","01/02/2009","5404-0","TRAFFIC","1895789","881996"
"SL2009632","SALT LAKE CITY","5","6","90D","100 E 1700 S                                                                                            ","01/02/2009","LIW","234","01/02/2009","5404-0","TRAFFIC","1892732","874472"
"SL2009610","SALT LAKE CITY","4","6","90I","200 S RIO GRANDE ST                                                                                     ","01/02/2009","DTN","112","01/02/2009","5324-0","PUBLIC PEACE","1888236","885455"
"SL2009638","SALT LAKE CITY","7","6","240","1100 E 1700 S                                                                                            ","01/02/2009","SUG","236","01/02/2009","2499-17","STOLEN VEHICLE","1900570","874439"
"SL2009645","SALT LAKE CITY","5","6","90I","400 E HOLLYWOOD AVE                                                                                     ","01/02/2009","LIW","234","01/02/2009","5324-0","PUBLIC PEACE","1895454","872213"
"SL2009658","SALT LAKE CITY","1","6","0",,"01/02/2009","JOM","133","01/02/2009","5499-5","TRAFFIC","1866905","891511"
"SL2009621","SALT LAKE CITY","2","6","90I","1000 S 800 W                                                                                             ","01/02/2009","WSL","152","01/02/2009","5324-0","PUBLIC PEACE","1885476","879394"
"SL2009672","SALT LAKE CITY","4","6","90Z","000 W 300 S                                                                                             ","01/02/2009","DTN","113","01/02/2009","4902-0","ESCAPE","1891315","885219"
"SL2009679","SALT LAKE CITY","1","6","0","700 N TERMINAL NORTHBOUND DR                                                                            ","01/02/2009","WES","133","01/02/2009","7399-1","PUBLIC ORDER","1867036","893752"
"SL2009623","SALT LAKE CITY","4","6","23F","600 E 500 S                                                                                             ","01/02/2009","CEC","214","01/02/2009","2305-0","LARCENY","1897094","883554"
"SL2009630","SALT LAKE CITY","2","6","23C","1600 W NORTH TEMPLE ST                                                                                   ","01/02/2009","JOM","132","01/02/2009","2303-0","LARCENY","1878704","888447"
"SL2009635","SALT LAKE CITY","3","6","0","500 E 5TH AVE                                                                                           ","01/02/2009","AVE","211","01/02/2009","5399-23","PUBLIC PEACE","1896962","889669"
"SL2009646","SALT LAKE CITY","4","6","23F","800 S STATE ST                                                                                          ","01/02/2009","PEF","115","01/02/2009","2305-0","LARCENY","1892615","881206"
"SL2009647","SALT LAKE CITY","4","6","23F","800 S STATE ST                                                                                          ","01/02/2009","PEF","115","01/02/2009","2305-0","LARCENY","1892615","881206"
"SL2009648","SALT LAKE CITY","4","6","23F","800 S STATE ST                                                                                          ","01/02/2009","PEF","115","01/02/2009","2305-0","LARCENY","1892615","881206"
"SL2009678","SALT LAKE CITY","4","6","90Z","000 W 300 S                                                                                             ","01/02/2009","DTN","113","01/02/2009","4902-0","ESCAPE","1891315","885219"
"SL2009686","SALT LAKE CITY","6","6","23F","1800 S 1600 E                                                                                            ","01/02/2009","SUG","236","01/02/2009","2305-0","LARCENY","1904525","873029"
"SL2009695","SALT LAKE CITY","1","6","290","1300 N REDWOOD RD                                                                                        ","01/02/2009","WES","131","01/02/2009","2902-1","DAMAGED PROP","1878588","898436"
"SL2009693","SALT LAKE CITY","4","6","290","100 E 200 S                                                                                             ","01/02/2009","CEC","113","01/02/2009","2902-0","DAMAGED PROP","1893275","886004"
"SL2009615","SALT LAKE CITY","7","6","290","1700 E 2700 S                                                                                            ","01/02/2009","SUG","236","01/02/2009","2902-0","DAMAGED PROP","1905560","866900"
"SL2009636","SALT LAKE CITY","4","6","290","700 S MAIN ST                                                                                           ","01/02/2009","PEF","115","01/02/2009","2902-0","DAMAGED PROP","1891825","881994"
