,X-COORDINATE,Y_COORDINATE
168,1890226.0,888402.0
170,1899304.0,876495.0
171,1894264.0,881757.0
172,1899429.0,875209.0
173,1900512.0,873466.0
175,1894264.0,881757.0
176,1884802.0,893748.0
177,1890024.0,883640.0
178,1887938.0,885661.0
179,1887938.0,885661.0
180,1867030.0,892008.0
181,1867036.0,893752.0
182,1888298.0,885903.0
184,1887879.0,885988.0
185,1889466.0,886681.0
186,1889051.0,876511.0
187,1887092.0,887186.0
188,1891548.0,889367.0
190,1877229.0,893896.0
191,1897685.0,881193.0
192,1900855.0,870241.0
193,1878621.0,895749.0
194,1884710.0,886005.0
195,1892440.0,886008.0
196,1892648.0,874236.0
197,1892597.0,876505.0
198,1898949.0,879327.0
200,1893795.0,880912.0
201,1890226.0,888402.0
202,1889051.0,876511.0
204,1887874.0,884798.0
205,1889411.0,873239.0
206,1887879.0,885988.0
207,1884802.0,893631.0
208,1880622.0,881693.0
209,1891464.0,887595.0
210,1887876.0,885178.0
211,1888238.0,885930.0
212,1888723.0,883912.0
213,1888238.0,885930.0
214,1894831.0,872846.0
215,1874083.0,873813.0
217,1888238.0,885930.0
218,1888297.0,885699.0
219,1892677.0,881611.0
220,1883634.0,885582.0
221,1885336.0,888421.0
222,1891418.0,895530.0
223,1894379.0,877421.0
224,1888238.0,885930.0
225,1879031.0,893191.0
226,1897341.0,866587.0
227,1881939.0,875025.0
228,1891548.0,889367.0
229,1888297.0,885699.0
230,1891815.0,879518.0
231,1875968.0,888398.0
232,1891904.0,887160.0
234,1889476.0,887543.0
235,1898175.0,871931.0
236,1890665.0,883638.0
237,1897074.0,870390.0
238,1888299.0,886183.0
239,1890268.0,887600.0
240,1884631.0,895732.0
241,1889518.0,884792.0
242,1902100.0,874446.0
243,1892600.0,877281.0
244,1891808.0,877611.0
245,1890899.0,877492.0
246,1891815.0,879518.0
247,1888667.0,884902.0
248,1894206.0,882326.0
249,1890632.0,882845.0
250,1887938.0,885661.0
251,1887938.0,885661.0
252,1888670.0,885770.0
253,1879237.0,882754.0
254,1891043.0,884923.0
255,1892689.0,884776.0
256,1876043.0,888458.0
257,1874746.0,888403.0
258,1895408.0,882822.0
259,1886209.0,891883.0
260,1888297.0,885699.0
261,1894237.0,874298.0
262,1888297.0,885699.0
263,1891904.0,887160.0
264,1891808.0,877611.0
265,1880870.0,894465.0
266,1881478.0,876173.0
267,1891020.0,879323.0
268,1892594.0,875747.0
269,1888237.0,887060.0
270,1893835.0,875874.0
271,1891418.0,895530.0
272,1888238.0,885930.0
273,1902747.0,871687.0
274,1884953.0,885183.0
275,1887944.0,887145.0
276,1891418.0,895530.0
277,1883596.0,882077.0
278,1909751.0,876977.0
279,1887879.0,885988.0
280,1888232.0,884472.0
281,1887876.0,885178.0
282,1895863.0,885564.0
283,1887897.0,886025.0
284,1889454.0,876317.0
285,1900551.0,879088.0
286,1893455.0,879752.0
287,1894766.0,879602.0
288,1884109.0,890793.0
289,1898919.0,871820.0
290,1877542.0,891198.0
291,1889404.0,871599.0
292,1884755.0,882287.0
293,1902579.0,877694.0
294,1902088.0,871500.0
295,1887938.0,885661.0
298,1891008.0,876217.0
299,1889051.0,876511.0
300,1877782.0,897673.0
306,1889051.0,876511.0
307,1889051.0,876511.0
308,1889051.0,876511.0
309,1890024.0,883640.0
310,1889898.0,884372.0
311,1891026.0,896428.0
312,1891876.0,887563.0
317,1891844.0,887168.0
320,1888723.0,884003.0
322,1892634.0,885962.0
323,1886038.0,888419.0
324,1895764.0,883559.0
325,1891945.0,887593.0
326,1887775.0,885966.0
327,1878573.0,872043.0
328,1888238.0,885862.0
330,1885625.0,873325.0
333,1888561.0,883645.0
334,1898705.0,888774.0
335,1885863.0,884447.0
336,1893461.0,879583.0
337,1877570.0,893210.0
338,1885860.0,877509.0
339,1885860.0,877509.0
340,1889462.0,885767.0
341,1883570.0,884858.0
342,1880510.0,885200.0
343,1891050.0,886735.0
344,1897416.0,877852.0
345,1908586.0,876491.0
346,1884802.0,893793.0
347,1891895.0,884646.0
348,1897410.0,883778.0
349,1897416.0,877852.0
350,1890665.0,883638.0
351,1890440.0,884430.0
352,1894264.0,881757.0
353,1891028.0,881205.0
354,1889415.0,871603.0
355,1876736.0,895651.0
356,1882522.0,877415.0
357,1866905.0,891511.0
358,1902163.0,864996.0
359,1888238.0,885862.0
360,1878488.0,891407.0
361,1890934.0,881199.0
362,1867036.0,893752.0
363,1894242.0,875701.0
365,1881226.0,875996.0
366,1898186.0,886674.0
367,1886204.0,888358.0
368,1892643.0,872846.0
370,1904047.0,875760.0
371,1892579.0,871727.0
